,AQI
532,68.0
533,70.0
534,69.0
535,81.0
536,80.0
537,69.0
538,66.0
539,82.0
540,81.0
541,101.0
542,90.0
543,105.0
544,99.0
545,92.0
546,92.0
547,84.0
548,73.0
549,99.0
550,91.0
551,73.0
552,79.0
553,79.0
554,66.0
555,70.0
556,66.0
557,81.0
558,137.0
559,111.0
560,78.0
561,79.0
562,86.0
563,102.0
564,90.0
565,74.0
566,97.0
567,110.0
568,115.0
569,91.0
570,105.0
571,107.0
572,82.0
573,100.0
574,105.0
575,107.0
576,87.0
577,99.0
578,101.0
579,123.0
580,122.0
581,100.0
582,110.0
583,107.0
584,128.0
585,100.0
586,110.0
587,100.0
588,88.0
589,82.0
590,67.0
591,123.0
592,130.0
593,114.0
594,319.0
595,109.0
596,79.0
597,85.0
598,102.0
599,143.0
600,137.0
601,103.0
602,94.0
603,96.0
604,104.0
605,98.0
606,81.0
607,90.0
608,93.0
609,80.0
610,99.0
611,95.0
612,92.0
613,100.0
614,91.0
615,102.0
616,106.0
617,146.0
618,100.0
619,101.0
620,73.0
621,83.0
622,90.0
623,78.0
624,84.0
625,73.0
626,73.0
627,75.0
628,75.0
629,82.0
630,65.0
631,73.0
632,77.0
633,102.0
634,74.0
635,78.0
636,53.0
637,72.0
638,77.0
639,44.0
640,46.0
641,42.0
642,41.0
643,39.0
644,44.0
645,40.0
646,46.0
647,55.0
648,63.0
649,62.0
650,41.0
651,39.0
652,41.0
653,42.0
654,40.0
655,43.0
656,43.0
657,43.0
658,64.0
659,63.0
660,63.0
661,47.0
662,55.0
663,52.0
664,44.0
665,33.0
666,34.0
667,38.0
668,41.0
669,46.0
670,48.0
671,52.0
672,32.0
673,47.0
674,36.0
675,47.0
676,71.0
677,48.0
678,47.0
679,71.0
680,73.0
681,52.0
682,61.0
683,42.0
684,50.0
685,56.0
686,55.0
687,44.0
688,44.0
689,54.0
690,46.0
691,55.0
692,49.0
693,46.0
694,65.0
695,53.0
696,50.0
697,50.0
698,50.0
699,50.0
700,50.0
701,50.0
702,50.0
703,50.0
704,48.0
705,46.0
706,47.0
707,28.0
708,29.0
709,29.0
710,27.0
711,29.0
712,39.0
713,41.0
714,55.0
715,52.0
716,44.0
717,28.0
718,34.0
719,33.0
720,33.0
721,34.0
722,40.0
723,53.0
724,45.0
725,51.0
726,47.0
727,43.0
728,37.0
729,52.0
730,45.0
731,38.0
732,30.0
733,31.0
734,32.0
735,32.0
736,27.0
737,32.0
738,26.0
739,24.0
740,29.0
741,32.0
742,36.0
743,30.0
744,29.0
745,29.0
746,27.0
747,32.0
748,35.0
749,35.0
750,28.0
751,27.0
752,24.0
753,28.0
754,32.0
755,29.0
756,28.0
757,33.0
758,50.0
759,40.0
760,30.0
761,34.0
762,38.0
763,32.0
764,35.0
765,33.0
766,26.0
767,27.0
768,24.0
769,47.0
770,36.0
771,33.0
772,36.0
773,42.0
774,38.0
775,37.0
776,36.0
777,40.0
778,45.0
779,53.0
780,60.0
781,57.0
782,54.0
783,55.0
784,44.0
785,45.0
786,48.0
787,51.0
788,47.0
789,42.0
790,36.0
791,49.0
792,61.0
793,56.0
794,57.0
795,75.0
796,60.0
797,52.0
798,49.0
799,65.0
800,56.0
801,53.0
802,71.0
803,85.0
804,77.0
805,48.0
806,58.0
807,40.0
808,33.0
809,37.0
810,34.0
811,34.0
812,49.0
813,49.0
814,44.0
815,48.0
816,41.0
817,40.0
818,32.0
819,38.0
820,47.0
821,64.0
822,54.0
823,51.0
824,52.0
825,57.0
826,61.0
827,54.0
828,47.0
829,71.0
830,67.0
831,35.0
832,36.0
833,50.0
834,79.0
835,71.0
836,100.0
837,66.0
838,37.0
839,32.0
840,40.0
841,36.0
842,40.0
843,40.0
844,83.0
845,99.0
846,80.0
847,74.0
848,49.0
849,45.0
850,37.0
851,33.0
852,49.0
853,56.0
854,96.0
855,134.0
856,110.0
857,105.0
858,103.0
859,158.0
860,165.0
861,219.0
862,127.0
863,102.0
864,71.0
865,47.0
866,49.0
867,76.0
868,148.0
869,110.0
870,98.0
871,76.0
872,37.0
873,59.0
874,59.0
875,31.0
876,56.0
877,59.0
878,61.0
879,57.0
880,72.0
881,114.0
882,95.0
883,105.0
884,99.0
885,28.0
886,30.0
887,47.0
888,46.0
889,52.0
890,64.0
891,73.0
892,59.0
893,50.0
894,40.0
895,48.0
896,38.0
897,43.0
898,72.0
899,75.0
900,94.0
901,104.0
902,103.0
903,125.0
904,105.0
905,95.0
906,89.0
907,91.0
908,125.0
909,160.0
910,137.0
911,139.0
912,127.0
913,128.0
914,122.0
915,126.0
916,156.0
917,186.0
918,161.0
919,108.0
920,79.0
921,125.0
922,124.0
923,77.0
924,69.0
925,64.0
926,41.0
927,48.0
928,60.0
929,72.0
930,70.0
931,86.0
932,91.0
933,86.0
934,85.0
935,90.0
936,102.0
937,90.0
938,75.0
939,87.0
940,112.0
941,96.0
942,91.0
943,120.0
944,102.0
945,88.0
946,85.0
947,103.0
948,149.0
949,165.0
950,147.0
951,139.0
952,90.0
953,102.0
954,130.0
955,98.0
956,103.0
957,106.0
958,196.0
959,81.0
960,104.0
961,106.0
962,103.0
963,95.0
964,105.0
965,102.0
966,97.0
967,109.0
968,100.0
969,92.0
970,89.0
971,58.0
